id,Duration in months,Credit history,Purpose of the credit,Credit amount,Status of savings account/bonds,Present employment(years),Installment rate in percentage of disposable income,personal_status,Other debtors / guarantors,Present residence since X years,Property,Age in years,Other installment plans (banks/stores),Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Status of existing checking account
1917,31,existing paid,domestic appliance,347,>=1000,<1,4,male mar/wid,guarantor,2,no known property,59,stores,for free,1,unskilled resident,1,yes,no,bad
1918,61,delayed previously,domestic appliance,13148,<100,<1,4,male mar/wid,none,1,car,23,bank,for free,4,unemp/unskilled non res,1,none,no,bad
1919,53,existing paid,repairs,4904,>=1000,>=7,4,male single,guarantor,3,real estate,58,none,rent,3,unskilled resident,2,none,no,bad
1920,36,all paid,business,8514,<100,1<=X<4,1,male single,co applicant,1,life insurance,29,none,for free,3,high qualif/self emp/mgmt,1,none,yes,bad
1921,18,no credits/all paid,other,12378,>=1000,<1,4,female div/dep/mar,none,3,no known property,35,none,own,3,unskilled resident,1,none,no,good
1922,53,delayed previously,other,12130,no known savings,unemployed,2,female div/dep/mar,none,2,car,68,stores,rent,4,skilled,1,none,yes,good
1923,53,all paid,radio/tv,11940,<100,1<=X<4,4,male mar/wid,guarantor,3,no known property,60,none,own,2,high qualif/self emp/mgmt,2,yes,no,bad
1924,50,critical/other existing credit,furniture/equipment,5551,<100,>=7,3,female div/dep/mar,guarantor,4,car,30,bank,for free,1,unskilled resident,2,none,yes,bad
1925,54,existing paid,domestic appliance,5622,500<=X<1000,>=7,2,male mar/wid,co applicant,2,no known property,51,none,rent,1,unskilled resident,2,none,no,good
1926,35,critical/other existing credit,retraining,5441,<100,<1,1,female div/dep/mar,guarantor,4,no known property,37,bank,rent,3,high qualif/self emp/mgmt,2,none,no,bad
1927,12,critical/other existing credit,domestic appliance,15204,<100,1<=X<4,3,female div/dep/mar,co applicant,4,real estate,26,bank,rent,1,skilled,1,yes,no,bad
1928,28,critical/other existing credit,domestic appliance,1386,<100,4<=X<7,3,male div/sep,none,2,car,52,stores,rent,2,skilled,1,yes,no,good
1929,4,no credits/all paid,education,3163,500<=X<1000,1<=X<4,3,male single,guarantor,2,car,43,stores,rent,3,high qualif/self emp/mgmt,1,none,no,good
1930,8,critical/other existing credit,education,565,100<=X<500,unemployed,3,female div/dep/mar,none,4,real estate,20,bank,rent,4,high qualif/self emp/mgmt,1,none,no,bad
1931,33,all paid,domestic appliance,13975,<100,1<=X<4,2,male mar/wid,none,2,no known property,74,stores,rent,3,skilled,2,yes,yes,bad
1932,66,delayed previously,new car,8483,no known savings,1<=X<4,2,male single,co applicant,3,car,44,stores,own,2,unemp/unskilled non res,2,none,yes,good
1933,55,delayed previously,new car,996,<100,unemployed,3,male mar/wid,guarantor,3,life insurance,74,stores,rent,4,skilled,2,yes,yes,good
1934,15,all paid,radio/tv,9503,>=1000,1<=X<4,4,female div/dep/mar,none,4,car,34,none,for free,4,unemp/unskilled non res,2,none,yes,good
1935,30,delayed previously,used car,3975,500<=X<1000,4<=X<7,1,female div/dep/mar,none,2,car,23,bank,own,3,skilled,1,yes,yes,good
1936,45,existing paid,business,3625,100<=X<500,unemployed,4,male div/sep,guarantor,4,car,28,stores,rent,1,unemp/unskilled non res,2,none,no,bad
1937,40,existing paid,domestic appliance,10747,<100,1<=X<4,1,male mar/wid,none,2,car,66,bank,rent,3,unskilled resident,2,none,no,bad
1938,19,no credits/all paid,used car,17759,500<=X<1000,1<=X<4,4,male single,guarantor,3,car,22,none,rent,3,unskilled resident,2,none,yes,good
1939,36,delayed previously,education,10700,100<=X<500,>=7,3,male div/sep,guarantor,3,no known property,44,stores,own,3,unemp/unskilled non res,1,yes,no,good
1940,5,delayed previously,repairs,16914,500<=X<1000,unemployed,2,male div/sep,guarantor,1,life insurance,37,bank,own,2,skilled,2,none,no,good
1941,70,critical/other existing credit,retraining,11062,<100,<1,4,male single,none,1,life insurance,69,bank,for free,2,unskilled resident,2,none,no,bad
1942,7,no credits/all paid,repairs,11627,<100,<1,1,male single,none,2,life insurance,56,stores,own,4,unemp/unskilled non res,2,yes,yes,good
1943,29,all paid,business,900,no known savings,>=7,4,male single,none,1,life insurance,67,bank,rent,1,unemp/unskilled non res,2,yes,no,good
1944,36,no credits/all paid,furniture/equipment,7660,100<=X<500,unemployed,1,male div/sep,none,1,car,68,none,own,3,unemp/unskilled non res,2,none,yes,good
1945,22,critical/other existing credit,other,11334,500<=X<1000,unemployed,3,male single,none,1,real estate,23,bank,own,2,unemp/unskilled non res,1,yes,yes,bad
1946,25,critical/other existing credit,used car,6614,no known savings,4<=X<7,1,male div/sep,none,3,no known property,49,none,for free,1,unskilled resident,1,none,yes,bad
1947,38,critical/other existing credit,repairs,8480,no known savings,4<=X<7,4,male single,co applicant,3,life insurance,23,stores,rent,2,high qualif/self emp/mgmt,1,none,yes,good
1948,36,existing paid,repairs,5542,100<=X<500,4<=X<7,4,male div/sep,none,3,no known property,40,bank,rent,1,skilled,1,none,yes,bad
1949,65,critical/other existing credit,other,13463,>=1000,<1,4,male mar/wid,none,4,life insurance,46,bank,for free,2,unskilled resident,1,yes,no,good
1950,66,all paid,domestic appliance,4197,<100,<1,1,female div/dep/mar,guarantor,2,real estate,26,stores,for free,2,high qualif/self emp/mgmt,1,none,no,bad
1951,51,delayed previously,domestic appliance,12450,500<=X<1000,<1,1,male div/sep,none,4,real estate,75,bank,own,2,unskilled resident,1,none,yes,good
1952,67,delayed previously,education,3259,500<=X<1000,<1,4,male mar/wid,none,1,no known property,40,stores,own,4,high qualif/self emp/mgmt,1,none,no,good
1953,69,critical/other existing credit,domestic appliance,14475,>=1000,1<=X<4,4,male single,guarantor,2,car,37,stores,own,3,unemp/unskilled non res,2,none,yes,bad
1954,11,all paid,education,15499,100<=X<500,4<=X<7,1,male div/sep,guarantor,3,no known property,45,stores,rent,2,unskilled resident,2,none,no,bad
1955,62,existing paid,domestic appliance,5197,>=1000,>=7,1,female div/dep/mar,guarantor,1,car,38,bank,own,3,unemp/unskilled non res,1,none,yes,good
1956,56,no credits/all paid,repairs,13661,<100,4<=X<7,1,male mar/wid,none,4,real estate,37,stores,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
1957,30,existing paid,repairs,9703,500<=X<1000,4<=X<7,2,male mar/wid,co applicant,2,car,49,bank,own,1,unskilled resident,1,none,no,bad
1958,7,delayed previously,new car,17016,100<=X<500,>=7,2,male mar/wid,guarantor,2,life insurance,70,stores,for free,2,high qualif/self emp/mgmt,1,none,no,bad
1959,18,existing paid,repairs,5897,>=1000,unemployed,3,female div/dep/mar,none,1,real estate,41,none,rent,3,unskilled resident,1,none,yes,good
1960,65,delayed previously,business,9532,500<=X<1000,4<=X<7,1,male mar/wid,co applicant,2,car,71,none,rent,2,unskilled resident,1,yes,yes,bad
1961,67,delayed previously,other,6882,100<=X<500,1<=X<4,2,male mar/wid,none,2,life insurance,44,none,for free,2,unemp/unskilled non res,2,none,yes,bad
1962,60,existing paid,radio/tv,16657,500<=X<1000,<1,3,male single,co applicant,2,life insurance,44,none,own,4,skilled,1,yes,no,bad
1963,33,existing paid,new car,5528,100<=X<500,4<=X<7,3,male mar/wid,guarantor,2,car,75,stores,for free,3,skilled,1,yes,no,good
1964,19,all paid,used car,12777,<100,1<=X<4,3,male div/sep,none,4,car,20,none,own,3,high qualif/self emp/mgmt,1,none,yes,good
1965,30,critical/other existing credit,other,9563,<100,unemployed,4,female div/dep/mar,co applicant,1,no known property,66,bank,rent,1,skilled,2,yes,yes,bad
1966,4,delayed previously,furniture/equipment,11845,>=1000,<1,3,male mar/wid,none,4,life insurance,54,bank,own,4,unemp/unskilled non res,1,yes,no,bad
1967,20,critical/other existing credit,used car,7242,>=1000,<1,2,female div/dep/mar,co applicant,1,car,62,none,own,4,skilled,1,yes,yes,bad
1968,57,existing paid,domestic appliance,8565,no known savings,1<=X<4,2,male div/sep,co applicant,2,car,26,none,own,3,high qualif/self emp/mgmt,2,none,yes,bad
1969,67,no credits/all paid,new car,15267,>=1000,unemployed,1,male mar/wid,guarantor,1,no known property,43,bank,rent,1,high qualif/self emp/mgmt,2,yes,yes,bad
1970,6,critical/other existing credit,radio/tv,10520,no known savings,<1,4,male div/sep,none,4,car,22,stores,own,3,high qualif/self emp/mgmt,1,yes,no,good
1971,72,existing paid,used car,6959,500<=X<1000,<1,1,male div/sep,co applicant,1,life insurance,44,stores,rent,2,unskilled resident,1,yes,yes,good
1972,63,delayed previously,repairs,4870,>=1000,unemployed,2,female div/dep/mar,co applicant,1,life insurance,55,stores,rent,4,skilled,2,yes,yes,good
1973,38,existing paid,used car,10177,<100,1<=X<4,1,male mar/wid,guarantor,1,real estate,47,bank,for free,2,high qualif/self emp/mgmt,2,none,yes,bad
1974,19,critical/other existing credit,education,8587,<100,1<=X<4,3,male single,co applicant,4,no known property,60,bank,rent,2,skilled,2,none,yes,good
1975,34,delayed previously,radio/tv,4551,no known savings,>=7,4,male mar/wid,none,4,car,20,stores,for free,2,unskilled resident,2,none,yes,bad
1976,11,no credits/all paid,furniture/equipment,15769,100<=X<500,1<=X<4,2,male div/sep,guarantor,2,no known property,57,bank,own,3,high qualif/self emp/mgmt,2,none,yes,good
1977,62,existing paid,domestic appliance,9920,500<=X<1000,<1,1,male single,co applicant,2,no known property,39,bank,own,4,skilled,1,none,no,bad
1978,36,delayed previously,retraining,12261,>=1000,4<=X<7,3,male mar/wid,none,1,no known property,60,stores,rent,3,unskilled resident,1,none,no,bad
1979,59,no credits/all paid,furniture/equipment,2907,no known savings,4<=X<7,1,male mar/wid,guarantor,4,real estate,32,stores,own,2,skilled,2,yes,no,good
1980,50,existing paid,new car,8864,100<=X<500,<1,4,male single,co applicant,3,no known property,31,stores,rent,3,unskilled resident,2,none,no,good
1981,19,no credits/all paid,repairs,2461,500<=X<1000,4<=X<7,2,male single,none,3,no known property,66,none,for free,1,unemp/unskilled non res,2,yes,no,good
1982,69,existing paid,repairs,9737,500<=X<1000,4<=X<7,1,female div/dep/mar,none,1,life insurance,27,none,for free,2,unemp/unskilled non res,2,yes,yes,good
1983,34,critical/other existing credit,other,13105,>=1000,1<=X<4,3,male mar/wid,co applicant,4,no known property,69,bank,rent,4,high qualif/self emp/mgmt,1,none,no,good
1984,17,no credits/all paid,domestic appliance,9189,500<=X<1000,<1,3,female div/dep/mar,co applicant,2,real estate,40,stores,own,1,unskilled resident,2,none,no,good
1985,26,existing paid,domestic appliance,3217,100<=X<500,1<=X<4,2,male single,co applicant,3,no known property,36,bank,rent,2,unemp/unskilled non res,2,none,no,good
1986,62,no credits/all paid,furniture/equipment,8322,<100,4<=X<7,2,male div/sep,co applicant,3,real estate,31,stores,for free,3,skilled,2,yes,no,bad
1987,27,no credits/all paid,furniture/equipment,783,no known savings,>=7,1,female div/dep/mar,co applicant,3,life insurance,71,none,own,4,high qualif/self emp/mgmt,1,yes,no,good
1988,64,existing paid,new car,8061,500<=X<1000,4<=X<7,2,female div/dep/mar,co applicant,1,no known property,66,none,for free,2,unemp/unskilled non res,2,none,no,good
1989,44,existing paid,used car,6301,500<=X<1000,<1,2,male mar/wid,co applicant,2,car,42,none,for free,2,unemp/unskilled non res,2,none,no,bad
1990,43,delayed previously,new car,14815,100<=X<500,4<=X<7,2,male div/sep,co applicant,4,life insurance,24,none,rent,2,high qualif/self emp/mgmt,1,none,no,good
1991,53,critical/other existing credit,education,6290,100<=X<500,4<=X<7,2,male single,co applicant,3,no known property,54,bank,for free,1,skilled,1,yes,no,good
1992,71,no credits/all paid,other,11933,no known savings,1<=X<4,3,female div/dep/mar,none,1,no known property,40,bank,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
1993,31,no credits/all paid,other,14306,<100,unemployed,2,male div/sep,guarantor,2,no known property,56,bank,rent,4,unemp/unskilled non res,2,none,no,good
1994,10,no credits/all paid,other,15219,100<=X<500,unemployed,3,male single,guarantor,2,car,44,none,for free,1,unskilled resident,1,none,no,bad
1995,61,existing paid,furniture/equipment,11167,no known savings,unemployed,2,male div/sep,co applicant,4,car,42,none,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
1996,15,delayed previously,business,13559,no known savings,>=7,3,female div/dep/mar,co applicant,1,real estate,62,bank,for free,2,skilled,2,yes,yes,good
1997,23,existing paid,used car,6124,>=1000,1<=X<4,3,male mar/wid,guarantor,3,real estate,50,bank,for free,2,high qualif/self emp/mgmt,2,yes,no,bad
1998,44,no credits/all paid,domestic appliance,8031,100<=X<500,<1,1,male single,none,2,car,45,stores,for free,3,unskilled resident,2,none,no,bad
1999,28,existing paid,furniture/equipment,7976,100<=X<500,unemployed,2,male mar/wid,co applicant,4,no known property,65,stores,own,1,unskilled resident,2,none,no,good
2000,46,all paid,business,14716,>=1000,1<=X<4,4,male mar/wid,guarantor,1,no known property,59,bank,own,2,skilled,1,none,no,good
